Mes,Total_Mensual,Total_Interanual,Subyacente_Mensual,Subyacente_Interanual
Ene.2020,0.0538080667322616,1.88835605229068,0.0679496180960414,2.3145020152252
Feb.2020,0.142172034360178,1.90403776113918,0.149431959749812,2.33949873131497
Mar.2020,0.645999987966259,1.82153296943842,0.423488200565891,1.73427258603418
Abr.2020,0.104582684852522,1.72448975655499,0.180767186483484,1.87455890144798
May.2020,0.204153570879042,1.7819197522911,0.126862078680111,1.85905336348152
Jun.2020,-0.266096854987984,1.59873239164688,0.0692723409998636,1.90623356619438
Jul.2020,0.462688397344215,1.8616957242678,0.0290339235427412,1.81092890901636
Ago.2020,-0.110238965197723,1.68739824186658,0.114915956983113,1.78512926897169
Sep.2020,0.136353971354613,1.81955390705632,0.0469519751381856,1.82647762714197
Oct.2020,0.0167755516523417,1.72400036113651,0.0821496137334078,1.67793969562349
Nov.2020,0.520479581391504,2.14220969430481,0.113750842567248,1.75401768314416
Dic.2020,0.0487327395330378,1.97323222946074,0.344251327606492,1.76210291252213
Ene.2021,0.742901704166242,2.67554538350913,-0.00362928539146778,1.68931217611891
Feb.2021,-0.125265562868538,2.4013422122209,0.0323473716577116,1.57042731580043
Mar.2021,0.839468767410369,2.59818523324116,0.640801693783495,1.79022275173986
Abr.2021,-0.104691802721501,2.38369772363027,0.109597485701745,1.7179096731001
May.2021,0.266557522263624,2.44745902560864,0.168548750299159,1.76025875915241
Jun.2021,0.51967163414861,3.25460667105263,0.195477344652453,1.88859639495158
Jul.2021,1.00753906510749,3.81459906516264,0.279436830970827,2.14365434933075
Ago.2021,0.98493531236659,4.95280459648037,0.353822963507835,2.38740259066753
Sep.2021,0.40042251687241,5.22957455422953,0.228131971645276,2.57282102548759
Oct.2021,0.58366506925955,5.82600992647617,0.295865255282739,2.79185525222624
Nov.2021,0.358183580426998,5.65514784662318,0.233652343077495,2.91496419162015
Dic.2021,0.782835268325123,6.43038716340725,0.662171988670295,3.24102964147174
Ene.2022,0.0372679999999974,5.68491659367423,-0.155776290841999,3.08394580545524
Feb.2022,0.311455926605271,6.1470442223465,0.205980821521606,3.26287613755354
Mar.2022,1.48265988924236,6.82408900736014,0.832681769358675,3.45975541657272
Abr.2022,0.961893177341858,7.96465277256915,0.452386903187968,3.81401624853321
May.2022,0.384024966018986,8.09113893196794,0.599423189703409,4.26057164552609
Jun.2022,1.19062710636316,8.81263294388897,0.862608858408644,4.95476977532499
Jul.2022,0.940891085039107,8.74083491516008,0.741414694728885,5.43828645495844
Ago.2022,0.666542107665968,8.39798830340194,0.311984516393786,5.39432824747444
Sep.2022,0.522557852684368,8.52985253634929,0.334107767595047,5.50576649943924
Oct.2022,0.347652348101841,8.27519462737062,0.497760779328261,5.71814955195104
Nov.2022,0.517639656505263,8.44722980234022,0.226987115803516,5.71111962260818
Dic.2022,0.793924170395989,8.45916200000001,0.543028297683892,5.586
Ene.2023,0.226446521871514,8.66426700097408,0.048274576566017,5.80178529118422
Feb.2023,0.29452251053137,8.64592356025242,0.274269799417845,5.87388773175611
Mar.2023,1.25348677152025,8.40057400933134,0.875037628308558,5.9183612038145
Abr.2023,0.556251880069387,7.9650458305066,0.203574039179772,5.65600954035852
May.2023,0.31786146413237,7.89388564823743,0.0756845238393713,5.10594537773567
Jun.2023,-0.152769746155551,6.46149699198863,0.140695808022628,4.35366111203852
Jul.2023,0.391066276983018,5.88160145590039,0.289865727065611,3.88592112556114
Ago.2023,0.376132603479856,5.57614720330122,0.243322865001805,3.81481318232538
Sep.2023,0.0164026333286269,5.04454594794186,0.133571950983976,3.60732054795556
Oct.2023,-0.322447443370826,4.34308132283159,0.219623628433648,3.32057739342589
Nov.2023,-0.163060842314584,3.63647512169549,0.00338723113911731,3.09007591020824
Dic.2023,0.405777961086682,3.23738256432406,0.357847790034804,2.90020424119392
Ene.2024,0.0192113272793558,3.02392174826855,0.00907477572778463,2.85988702903269
Feb.2024,0.557510800936321,3.29406696032184,0.510432150200941,3.10213893244372
Mar.2024,1.00938516188575,3.04504592593905,0.875077308443132,3.10217948862931
Abr.2024,-0.0516715997229469,2.42207617792805,0.113036962230901,3.0090234305998
May.2024,-0.0907064485030323,2.00493835958688,0.161673831283217,3.0975331882638
Jun.2024,0.121741927959431,2.28538225698791,0.159447375590354,3.11683843019413
Jul.2024,0.236268738691571,2.1276637869709,0.19118610858644,3.01537722869285
Ago.2024,0.284170528141876,2.03409700303861,0.0139106447133016,2.77962101333157
Sep.2024,-0.237560474773851,1.77501053596859,-0.000639779747545333,2.64186271158157
Oct.2024,-0.0931035230159262,2.00918040984485,0.0809413603560282,2.49982858886994
Nov.2024,0.0941530377317251,2.27199072148831,0.0641343646064838,2.56209218753464
Dic.2024,0.105667996950954,1.96630270142824,0.399466976731172,2.60462549167299
Ene.2025,-0.0933179134509413,1.85158283440667,-0.154033791855898,2.43728374264734
Feb.2025,0.188012094871704,1.4773290589483,0.191149051388614,2.1118797752423
Mar.2025,0.810159321766145,1.27718026977924,0.63648172741967,1.87035883732147
Abr.2025,0.31806633832046,1.65183401740204,0.142764016651307,1.90060770193364
May.2025,-0.0564746187563057,1.68666289219268,0.0485457138656688,1.78551553671641
Jun.2025,0.128679643778829,1.69370904576716,0.0651423986186427,1.68967953771425
